code,name,nameTH,category,categoryTH,type,typeTH,credits,description,descriptionTH,prerequisite,remake,remarkTH
GE 1101,Thai Civilization,อารยธรรมไทย,General Education Courses,หมวดวิชาศึกษาทัวไป,Humanities Courses,กลุ่มวิชามนุษยศาสตร์,3 (3-0-6),"Foundation and evolution of the Thai race from prehistoric, and historical periods in the Sukhothai,
Ayudhaya, Thonburi, and Rattanakosin periods. Thai culture and society during the present period under
King Rama IX. The implementation of the Self-sufficiency Economy and other royal projects.","ความเป็นมาและวิวัฒนาการของชนชาติไทยจากยุคก่อนประวัติศาสตร์ถึงยุคสุโขทัย อยุธยา ธนบุรี และ
รัตนโกสินทร์ วัฒนธรรมและสังคมไทยในยุคปัจจุบันในสมัยรัชกาลที 􀃉 9 และการนำทฤษฎีเศรษฐกิจพอเพียงและ
โครงการในพระราชดำริอื􀃉นๆ มาใช้",,,
GE 1102,Introduction to Philosophy,ปรัชญาเบื􀃊องต้น,General Education Courses,หมวดวิชาศึกษาทัวไป,Humanities Courses,กลุ่มวิชามนุษยศาสตร์,3 (3-0-6),"History of Western, Greek, modern, and contemporary philosophy, focusing on metaphysics,
epistemology, life value and application.","ประวัติศาสตร์ปรัชญาตะวันตก ปรัชญากรีก ปรัชญาสมัยใหม่ ปรัชญาร่วมสมัย โดยเน้นอภิปรัชญา ญาณวิทยา
คุณค่าชีวิต และการประยุกต์ใช้",,,
GE 2101,World Civilization,อารยธรรมโลก,General Education Courses,หมวดวิชาศึกษาทัวไป,Humanities Courses,กลุ่มวิชามนุษยศาสตร์,3 (3-0-6),"Development of human society, rise and fall of civilizations, achievements and heritages of Western and Eastern civilizations since ancient times in order to understand their roots; globalization impacts on modern societies; cross-cultural society.",วิวัฒนาการของสังคมมนุษย์ การเกิดและการล่มสลายของอารยธรรม ความสำเร็จและมรดกของอารยธรรม ตะวันตกและอารยธรรมตะวันออกตัง􀃊 แต่ยุคโบราณ เพือ􀃉 เข้าใจและประยุกต์ทีม􀃉 าและผลกระทบของโลกาภิวัตน์ต่อ สังคมในยุคปัจจุบันและสังคมแห่งความต่างวัฒนธรรม,,,
GE 2103,Art of Reasoning,ศิลปะการใช้เหตุผล,General Education Courses,หมวดวิชาศึกษาทัวไป,Humanities Courses,กลุ่มวิชามนุษยศาสตร์,3 (3-0-6),"Fundamental analysis of logical elements and rational applications for daily life emphasizing on deductive
and inductive methods of validity and fallacy.","การวิเคราะห์พื􀃊นฐานองค์ประกอบทางตรรกวิทยา รวมทัง􀃊 การประยุกต์ใช้ความมีเหตุผลในชีวิตประจำวัน โดย
เน้นทีว􀃉 ิธีการอ้างเหตุผลอย่างถูกต้องทัง􀃊 แบบนิรนัยและแบบอุปนัย รวมทัง􀃊 การอ้างอิงเหตุผลแบบผิดหลักการ",,,
GE 2104,Thai Buddhism,พระพุทธศาสนาไทย,General Education Courses,หมวดวิชาศึกษาทัวไป,Humanities Courses,กลุ่มวิชามนุษยศาสตร์,3 (3-0-6),"General concepts of Buddhism, history of Buddhism in Thailand and influences of Buddhism towards
Thai Buddhists’ way of life","แนวคิดทัว􀃉 ไปของพระพุทธศาสนา ประวัติความเป็นมาของพระพุทธศาสนาในประเทศไทย และอิทธิพลของ
พระพุทธศาสนาต่อวิถีชีวิตของพุทธศาสนิกชนชาวไทย",,,
GE 2105,Introduction to World Religion,ศาสนาโลกเบื􀃊องต้น,General Education Courses,หมวดวิชาศึกษาทัวไป,Humanities Courses,กลุ่มวิชามนุษยศาสตร์,3 (3-0-6),"World religions, both Western and Eastern: Judaism, Christianity, Islam, Hinduism, Sikhism, and
Buddhism, theories of religions, ethical theories, understanding of cultural varieties and religious ways of
life.","ศาสนาโลกทัง􀃊 ตะวันตกและตะวันออก อาทิ ศาสนายิว ศาสนาคริสต์ ศาสนาอิสลาม ศาสนาฮินดู ศาสนาซิกซ์
และพระพุทธศาสนา ทฤษฏีศาสนศาสตร์และทฤษฏีจริยศาสตร์ ความเข้าใจในความหลากหลายทางวัฒนธรรม
และการใช้ชีวิตตามหลักธรรมของศาสนา",,,
GE 2106,Logical Thinking and Application,การคิดเชิงตรรกะและการประยุกต์ใช้,General Education Courses,หมวดวิชาศึกษาทัวไป,Humanities Courses,กลุ่มวิชามนุษยศาสตร์,3 (3-0-6),"Analytical study of complicate logic through symbolization, justification of argumentative validity via
contingency of statements, and consistency of premises in Logical Formulae","การศึกษาเชิงวิเคราะห์ของตรรกวิทยาแบบซับซ้อนโดยอาศัยการแปลงให้เป็นสัญลักษณ์ การกำหนดความ
สมเหตุสมผลของข้อโต้แย้งโดยอาศัยข้อเท็จจริงของข้อความและความคงทีข􀃉 องข้ออ้างอิงตามหลักตรรกวิทยา",,,
GE 2107,Applied Philosophy in Social Sciences and Humanities,ปรัชญาประยุกต์ในสังคมศาสตร์และมนุษยศาสตร์,General Education Courses,หมวดวิชาศึกษาทัวไป,Humanities Courses,กลุ่มวิชามนุษยศาสตร์,3 (3-0-6),"Applied philosophy, value of life and real-life applications in social sciences and humanities; including
political philosophy, social philosophy, philosophy of language, philosophy of education, philosophy of
religion, philosophy of mind, feminist philosophy, and moral philosophy","ปรัชญาประยุกต์ คุณค่าชีวิต และการประยุกต์ใช้ในชีวิตจริง ปรัชญาการเมือง ปรัชญาสังคม ปรัชญาภาษา
ปรัชญาการศึกษา ปรัชญาศาสนา ปรัชญาจิต ปรัชญาภาวะสตรี และปรัชญาจริยศาสตร์",,,
MGT 2404,Managerial Psychology,จิตวิทยาการจัดการ,General Education Courses,หมวดวิชาศึกษาทัวไป,Humanities Courses,กลุ่มวิชามนุษยศาสตร์,3 (3-0-6),"Concepts and scope of social psychology, basic psychological factors and how they relate to business
organization, language symbol, perception, memory, emotion, social attitudes, persuasion, social and
cultural environment, role and status, personality, leadership, group behaviour, morale and application
of these factors in the human relation of business, especially in creation of morale, motivation of workers,
and solutions of business and social problems.","แนวคิดและขอบเขตของจิตวิทยาชุมชน ปัจจัยของจิตวิทยาขัน􀃊 พื􀃊นฐานและการนำไปเชื􀃉อมโยงกับองค์กรธุรกิจ
ได้แก่ การสำรวจด้านสัญลักษณ์ทางภาษาสือ􀃉 ความเข้าใจ ความจำ อารมณ์ ทัศนคติชุมชน การโน้มน้าวชักชวน
สภาพแวดล้อมของชุมชนและวัฒนธรรม บทบาทและสถานะภาพ บุคลิกลักษณะ ความเป็นผู้นำ พฤติกรรมของ
กลุ่ม ศีลธรรมจรรยาและการนำปัจจัยดังกล่าวมาประยุกต์กับการสร้างมนุษย์สัมพันธ์ทางธุรกิจ โดยเฉพาะอย่าง
ยิง􀃉 ในการสร้างศีลธรรมจรรยาและการสร้างแรงจูงใจให้กับพนักงาน รวมถึงแก้ปัญหาทัง􀃊 ทาง",,,
GE 1207,Fundamental Psychology,จิตวิทยาเบื􀃊องต้น,General Education Courses,หมวดวิชาศึกษาทัวไป,Social Science Courses,กลุ่มวิชาสังคมศาสตร์,3 (3-0-6),"Theories of psychology; sensations, perception, memorizing and forgetting processes; language and
thought; motivation, stress and its effect on human behaviours; responding to difficult life situation","ทฤษฎีทางจิตวิทยาต่างๆ ความรู้สึกต่อการสัมผัส การรับรู้ กระบวนการจำ และกระบวนการลืม ภาษาและ
ความคิด แรงจูงใจ ความเครียดและผลกระทบที􀃉มีต่อพฤติกรรมมนุษย์ การตอบสนองต่อสถานการณ์ยุ่งยากใน
ชีวิต",,,
GE 1203,"Society, Politics and Economics",สังคม การเมืองและเศรษฐกิจ,General Education Courses,หมวดวิชาศึกษาทัวไป,Social Science Courses,กลุ่มวิชาสังคมศาสตร์,3 (3-0-6),"Culture and relationship between culture and individual, factors in social and cultural changes, social
changes, contemporary social problems and social control, political and economic functions, the causes
and consequences of World War I, II and the Cold War, political and economic changes, globalization
and related problems.","วัฒนธรรมและความสัมพันธ์ระหว่างวัฒนธรรมและปัจเจกบุคคล ปัจจัยของการเปลี􀃉ยนแปลงทางสังคมและ
วัฒนธรรม การเปลี􀃉ยนแปลงทางสังคม ปัญหาสังคมในยุคปัจจุบันและการควบคุมทางสังคม องค์ประกอบทางการเมืองและเศรษฐกิจ เหตุและผลสืบเนื􀃉องจากการเกิดสงครามโลกครัง􀃊 ที􀃉 1 และ 2 และสงครามเย็น การ
เปลีย􀃉 นแปลงทางการเมืองและเศรษฐกิจ โลกาภิวัตน์ และปัญหาทีเ􀃉 กีย􀃉 วข้อง",,,
GE 1205,ASEAN Ways,วิถีอาเซียน,General Education Courses,หมวดวิชาศึกษาทัวไป,Social Science Courses,กลุ่มวิชาสังคมศาสตร์,3 (3-0-6),"Understanding ASEAN, valuing concepts of identity and diversity, connecting global and local issues,
relationship among ASEAN member states, importance of working with other nations to overcome
challenges, economic and resource policies, and practices to promote the well-being of nations and
individuals.","ความรู้เกี􀃉ยวกับอาเซียน การเห็นคุณค่าของอัตลักษณ์และความหลากหลาย การเชื􀃉อมโยงโลกและท้องถิ􀃉น
ความสัมพันธ์ระหว่างประเทศสมาชิกอาเซียน ความสำคัญของการทำงานร่วมกับชาติอื􀃉นเพื􀃉อเอาชนะสิง􀃉 ท้าทาย
นโยบายทางเศรษฐกิจและทรัพยากร และแนวปฏิบัติทีส􀃉 ่งเสริมความเป็นอยู่ทีด􀃉 ีของชาติและบุคคล",,,
GE 1206,Philosophy of Sufficiency Economy,ปรัชญาเศรษฐกิจพอเพียง,General Education Courses,หมวดวิชาศึกษาทัวไป,Social Science Courses,กลุ่มวิชาสังคมศาสตร์,3 (3-0-6),"Philosophy of the Sufficiency Economy concept and its pillars, ways of life in urban society in accordance
with the philosophy, Sufficiency Economy process-driven society and daily life, applying Sufficiency
Economy Philosophy to everyday life, Sufficiency Economy for sustainable development, Royal projects
in accordance with the philosophy","ความคิดรวบยอดและเสาหลักของปรัชญาเศรษฐกิจพอเพียง วิถีชีวิตในสังคมเมืองตามแนวทางปรัชญาเศรษฐกิจ
พอเพียง กระบวนการขับเคลื􀃉อนเศรษฐกิจพอเพียงในชุมชนและในชีวิตประจำวัน การประยุกต์ใช้ปรัชญา
เศรษฐกิจพอเพียงในชีวิตประจำวัน เศรษฐกิจพอเพียงเพื􀃉อการพัฒนาอย่างยัง􀃉 ยืน โครงการในพระราชดำริตาม
แนวทางปรัชญาเศรษฐกิจพอเพียง",,,
GE 2202,Ethics,จริยธรรม,General Education Courses,หมวดวิชาศึกษาทัวไป,Social Science Courses,กลุ่มวิชาสังคมศาสตร์,3 (3-0-6),"Teachings of major world religions, the role of conscience, self-development in the moral arena, building
self-esteem, self-knowledge, and good habits, distinguishing the right from the wrong, doing the right
and refraining from the wrong, attaining a more fulfilling life.","คำสอนของศาสนาหลักในโลก บทบาทของความรู้สึกผิดชอบชัว􀃉 ดี การพัฒนาตนเองในขอบเขตแห่งศีลธรรม การ
สร้างความภาคภูมิใจในตนเอง การรู้จักตนเองและการสร้างนิสัยที􀃉ดี การจำแนกความถูกและความผิด กระทำ
ตามความถูกต้องและละเว้นจากการกระทำทีผ􀃉 ิด การเข้าถึงการเติมเต็มชีวิตทีส􀃉 มบูรณ์ขึน",,,
GE 2203,Art of Living,ศิลปะแห่งการใช้ชีวิต,General Education Courses,หมวดวิชาศึกษาทัวไป,Social Science Courses,กลุ่มวิชาสังคมศาสตร์,3 (3-0-6),"Self-exploration, understanding ways to improve self-esteem, analysing real-life problems, conflict and
stress, breaking bad habits, power of positive thinking, designing plans to live a happy life.","การค้นหาตัวตน ความเข้าใจวิธีการพัฒนาความรู้สึกเคารพและมัน􀃉 ใจในตัวเอง การวิเคราะห์ปัญหาในชีวิตจริง
ความขัดแย้ง และความเครียด การขจัดนิสัยไม่ดีในตัวเอง พลังของการคิดบวก การออกแบบแผนการใช้ชีวิต
อย่างมีความสุข",,,
GE 2205,Communication and Multicultural society,ทักษะการสื􀃉อสารและสังคมพหุวัฒนธรรม,General Education Courses,หมวดวิชาศึกษาทัวไป,Social Science Courses,กลุ่มวิชาสังคมศาสตร์,3 (3-0-6),"Communication skills, effective interaction with other people, human relationships in a multicultural
society, interpersonal intelligence, skills in learning and living with others","ทักษะการสื􀃉อสาร ปฏิสัมพันธ์ที􀃉มีประสิทธิภาพกับบุคคลอื􀃉น มนุษยสัมพันธ์ในสังคมที􀃉มีความหลากหลายด้าน
วัฒนธรรม ปัญญาด้านมนุษยสัมพันธ์ ทักษะในการเรียนและการใช้ชีวิตร่วมกับผู้อื􀃉น",,,
GE 2206,Personality Development,การพัฒนาบุคลิกภาพ,General Education Courses,หมวดวิชาศึกษาทัวไป,Social Science Courses,กลุ่มวิชาสังคมศาสตร์,3 (3-0-6),"mprovement of one’s self-confidence and self-esteem, think positively towards themselves, how to make
friends, international table manners, dressing up oneself to match one’s personality, keeping healthy,
applying makeup, public speaking, interpersonal relationship skills","การพัฒนาความมัน􀃉 ใจในตนเองและการรู้คุณค่าในตนเอง ทัศนคติเชิงบวกทีม􀃉 ีต่อตนเอง การสร้างความสัมพันธ์
ระหว่างเพื􀃉อน มารยาทในการรับประทานอาหารแบบสากล การแต่งกายให้เหมาะสมกับบุคลิกภาพของตนเอง
การดูแลรักษาสุขภาพของตัวเอง การแต่งหน้า การพูดในทีช􀃉 ุมชน ทักษะความสัมพันธ์ระหว่างบุคคล",,,
GE 2207,"Sport, Health and Wellness Development",กีฬา สุขภาพ และการพัฒนาคุณภาพชีวิต,General Education Courses,หมวดวิชาศึกษาทัวไป,Social Science Courses,กลุ่มวิชาสังคมศาสตร์,3 (3-0-6),"Knowledge and understanding of sports, exercise, health promotion and fitness, principle of sport
spectating, selection of sport activities, self-care for good health and wellness development","ความรู้ ความเข้าใจเกี􀃉ยวกับการเล่นกีฬา การออกกำลังกาย การส่งเสริมสุขภาพ และการเสริมสร้างสมรรถภาพ
ทางกาย หลักการดูกีฬา การเลือกกิจกรรมกีฬา การดูแลตนเองเพือ􀃉 สุขภาพทีด􀃉 ี และการพัฒนาสุขภาวะ",,,
GE 2208,Thai Politics and Government,การเมืองการปกครองไทย,General Education Courses,หมวดวิชาศึกษาทัวไป,Social Science Courses,กลุ่มวิชาสังคมศาสตร์,3 (3-0-6),"Thai politics from monarchy to democracy, political reforms, development of democracy, involvement of
civil and private sectors, election, political ethics","การเมืองไทยจากระบอบสมบูรณาญาสิทธิราชย์จนถึงระบอบประชาธิปไตย การปฏิรูปการเมืองไทย การพัฒนา
ระบอบประชาธิปไตย การมีส่วนร่วมของภาคประชาชนและภาคเอกชน การเลือกตัง􀃊 จริยธรรมทางการเมือง",,,
MGT 1101,Introduction to Business,ธุรกิจเบื􀃊องต้น,General Education Courses,หมวดวิชาศึกษาทัวไป,Social Science Courses,กลุ่มวิชาสังคมศาสตร์,3 (3-0-6),"General introduction to business, philosophy, objectives and responsibility of business enterprises,
business vocabulary, business and its environment emphasizing fundamental principles of organization,
legal forms of business ownership, business activities concerning personnel, accounting, marketing,
production and finance.","พื􀃊นฐานทัว􀃉 ไปทางธุรกิจ ปรัชญา จุดมุ่งหมาย และหน้าที􀃉ความรับผิดชอบขององค์กรธุรกิจ คำนิยามต่างๆ ทาง
ธุรกิจ ธุรกิจและสภาพแวดล้อมทางธุรกิจ หลักการพื􀃊นฐานในการจัดการองค์กร รูปแบบทางกฎหมายของการ
เป็นเจ้าของธุรกิจ กิจกรรมทางธุรกิจทีเ􀃉 กีย􀃉 วข้องกับบุคลากร การบัญชี การตลาด การผลิตและการเงิน",,,
ECO 2200,Introduction to Economics,เศรษฐศาสตร์เบื􀃊องต้น,General Education Courses,หมวดวิชาศึกษาทัวไป,Social Science Courses,กลุ่มวิชาสังคมศาสตร์,3 (3-0-6),"Economic concepts and theories in making decisions at individual, market, and aggregate levels focusing
on consumer decision, pricing mechanism, demand and supply analysis, market equilibrium, theory of
the firm, perfectly and imperfectly competitive market structures, national income accounts,
unemployment, inflation, and fiscal and monetary policies.","แนวคิดและทฤษฎีเศรษฐศาสตร์เพื􀃉อนำไปตัดสินใจในระดับปัจเจกชนระดับตลาด และระดับมวลรวม โดยเน้น
ด้านการตัดสินใจของผู้บริโภค กลไกราคา การวิเคราะห์อุปสงค์และอุปทาน ดุลยภาพของตลาด โครงสร้างของ
ตลาดแข่งขันสมบูรณ์และไม่สมบูรณ์ บัญชีรายได้ประชาชาติ การว่างงาน ภาวะเงินเฟ้อ นโยบายการคลัง และ
นโยบายการเงิน",,,
GE 1301,Environmental Science,วิทยาศาสตร์สิ􀃉งแวดล้อม,General Education Courses,หมวดวิชาศึกษาทัวไป,Science and Mathematics Courses,กลุ่มวิชาวิทยาศาสตร์และคณิตศาสตร์,3 (3-0-6),"General science, scientific approaches, understanding the interrelationships of the nature, identification
and analysis of environmental problems, application and alternative solutions for preventing and solving
environmental problems","วิทยาศาสตร์ทัว􀃉 ไป กระบวนการคิดทางวิทยาศาตร์ ความเข้าใจความสัมพันธ์ของธรรมชาติ การแยกแยะและ
วิเคราะห์ปัญหาสิ􀃉งแวดล้อม การประยุกต์ใช้และวิธีการแก้ปัญหาที􀃉หลากหลายเพื􀃉อป้องกันและแก้ปัญหา
สิ􀃉งแวดล้อม",,,
GE 2301,Lifestyles in Dynamic World,วิถีชีวิตในโลกที􀃉เปลี􀃉ยนแปลง,General Education Courses,หมวดวิชาศึกษาทัวไป,Science and Mathematics Courses,กลุ่มวิชาวิทยาศาสตร์และคณิตศาสตร์,3 (3-0-6),"Relationship between lifestyle choices and impacts of these choices on individual’s health and the global
environment, scientific approaches to nutrition, supplements, sleep, rest, exercise, and sexuality.
Evaluation of individual healthy and eco- friendly lifestyles.","ความสัมพันธ์ระหว่างผลกระทบของวิถีการเลือกใช้ชีวิตประจำวันต่อสุขภาพมนุษย์ และสภาพแวดล้อมของโลก
แนวทางวิทยาศาสตร์ต่อประเด็นด้านโภชนาการ อาหารเสริม การนอนหลับ การพักผ่อน การออกกำลังกายและ
เพศสัมพันธ์ การประเมินค่าในวิถีการใช้ชีวิตทีด􀃉 ีต่อสุขภาพและเป็นมิตรต่อสิง􀃉 แวดล้อม",,,
GE 2302,Climate Change and Human Life,การเปลี􀃉ยนแปลงสภาพภูมิอากาศโลกและชีวิตมนุษย์,General Education Courses,หมวดวิชาศึกษาทัวไป,Science and Mathematics Courses,กลุ่มวิชาวิทยาศาสตร์และคณิตศาสตร์,3 (3-0-6),"Scientific foundations of global climate change, linkages between global climate change and impacts to
human health and their way of life, application of mitigation and adaptation strategies to minimize the
impacts of climate change on health and life.","แนวคิดทางวิทยาศาสตร์เกี􀃉ยวกับการเปลีย􀃉 นแปลงสภาพภูมิอากาศโลก การเชื􀃉อมโยงความสัมพันธ์ระหว่างการ
เปลีย􀃉 นแปลงสภาพภูมิอากาศโลกกับผลกระทบทีอ􀃉 าจเกิดขึ􀃊นต่อภาวะสุขภาพและวิถีชีวิตมนุษย์ การประยุกต์ใช้
กลยุทธ์ด้านการบรรเทาความรุนแรงของปัญหาและกลยุทธ์ด้านการปรับตัวต่อสภาพปัญหาเพือ􀃉 ลดผลกระทบจาก
การเปลีย􀃉 นแปลงสภาพภูมิอากาศโลกทีม􀃉 ีต่อภาวะสุขภาพ",,,
GE 2303,Building Brilliant Brain,การเสริมสร้างอัจฉริยภาพสมอง,General Education Courses,หมวดวิชาศึกษาทัวไป,Science and Mathematics Courses,กลุ่มวิชาวิทยาศาสตร์และคณิตศาสตร์,3 (3-0-6),"Scientific knowledge about daily living factors promoting brilliant brain function, applying neuroscience
research findings to brain healthy nutrition, fitness, attention adjustment and memory to improve
individual’s brain performance, creativity and success in everyday learning.","ความรู้ทางวิทยาศาสตร์เกี􀃉ยวกับปัจจัยในชีวิตประจำวันที􀃉ส่งเสริมการทำงานของสมองมนุษย์ การประยุกต์ใช้
ผลการวิจัยด้านประสาทวิทยา โภชนาการเพื􀃉อสุขภาพสมอง การบริหารสมอง การปรับความสนใจและความจำ
เพือ􀃉 ส่งเสริมศักยภาพของสมอง ความคิดสร้างสรรค์ และความสำเร็จในการเรียนรู้ในชีวิตประจำวัน",,,
MA 1200,Mathematics for Business,คณิตศาสตร์ธุรกิจ,General Education Courses,หมวดวิชาศึกษาทัวไป,Science and Mathematics Courses,กลุ่มวิชาวิทยาศาสตร์และคณิตศาสตร์,3 (3-0-6),"Relation and Various functions: linear, polynomial, exponential, logarithmic, rational and their applications
in business and economics, linear programming, mathematics of finance and differential calculus: limits,
derivatives, and optimization.","ความสัมพันธ์และฟังก์ชัน􀃉 ต่างๆ ซึ􀃉งประกอบด้วย ฟังก์ชัน􀃉 เชิงเส้น ฟังก์ชัน􀃉 พหุนาม ฟังก์ชัน􀃉 เอกซ์โพเนนเชียล
ฟังก์ชันลอการึทึม ฟังก์ชัน􀃉 ตรรกยะ และการประยุกต์ทางเศรษฐกิจ โปรแกรมเชิงเส้นเบื􀃊องต้น คณิตศาสตร์
การเงิน และแคลคูลัสซึง􀃉 ประกอบด้วย ลิมิต อนุพันธ์ ของฟังก์ชัน",,,
